                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58912,                0.33558,                0.82763,                0.95009,                0.89828,                0.93214,                0.69266,                0.82258,                0.41028,                0.94244,              0.0003324,              0.0003324,              0.0003324
                      2,                0.66883,                0.37385,                0.84244,                0.95815,                0.88046,                0.92466,                0.64329,                0.96042,                0.45854,                0.97167,             0.00065255,             0.00065255,             0.00065255
                      3,                0.73165,                0.41116,                0.85475,                0.95082,                0.85482,                0.91693,                0.62829,                0.97047,                0.47048,                0.98756,             0.00095951,             0.00095951,             0.00095951
                      4,                0.76876,                 0.4348,                 0.8633,                0.93612,                0.89298,                0.92183,                 0.6339,                0.97011,                0.46555,                  0.972,              0.0009406,              0.0009406,              0.0009406
                      5,                0.77897,                0.44456,                0.86759,                0.92831,                0.84551,                0.89651,                0.60326,                0.99403,                0.49863,                0.97909,              0.0009208,              0.0009208,              0.0009208
                      6,                0.79019,                0.44179,                0.86942,                0.95485,                0.86487,                0.93246,                0.63597,                0.95508,                0.47203,                0.95961,               0.000901,               0.000901,               0.000901
                      7,                0.78044,                 0.4372,                0.86412,                0.93075,                0.87723,                 0.9202,                 0.6265,                0.95867,                0.48107,                0.96912,              0.0008812,              0.0008812,              0.0008812
                      8,                0.78799,                0.44067,                0.86913,                0.94207,                0.87682,                0.92121,                0.63557,                0.95734,                0.47225,                0.96129,              0.0008614,              0.0008614,              0.0008614
                      9,                0.78644,                0.44062,                 0.8668,                0.92756,                0.87892,                0.91797,                0.61961,                 1.0106,                0.48836,                0.98616,              0.0008416,              0.0008416,              0.0008416
                     10,                0.78814,                0.43723,                0.87028,                0.91296,                0.86999,                0.91629,                0.62272,                 1.0049,                0.48042,                0.98242,              0.0008218,              0.0008218,              0.0008218
                     11,                0.78799,                0.43754,                0.86733,                0.93742,                0.87582,                0.91443,                0.62652,                0.97528,                0.47488,                0.97128,               0.000802,               0.000802,               0.000802
                     12,                0.79279,                0.44634,                0.86869,                0.91597,                0.89759,                0.92505,                0.64069,                0.95524,                0.46046,                0.96791,              0.0007822,              0.0007822,              0.0007822
                     13,                0.77799,                0.43458,                 0.8671,                0.95021,                0.88017,                0.92166,                0.63389,                 0.9795,                0.47771,                0.96668,              0.0007624,              0.0007624,              0.0007624
                     14,                0.77502,                0.43594,                0.86758,                0.94782,                0.87053,                0.92649,                0.63994,                0.93295,                0.44868,                0.96088,              0.0007426,              0.0007426,              0.0007426
                     15,                0.77022,                0.43262,                0.86497,                0.95118,                0.88669,                0.92497,                0.63961,                 0.9362,                0.45371,                0.97083,              0.0007228,              0.0007228,              0.0007228
                     16,                0.77027,                0.43266,                0.86372,                0.95505,                0.88278,                0.93077,                0.63656,                0.92647,                0.45683,                0.95203,               0.000703,               0.000703,               0.000703
                     17,                0.76088,                0.43359,                0.86324,                0.94922,                0.89096,                0.93309,                0.65517,                0.92659,                0.45862,                0.95246,              0.0006832,              0.0006832,              0.0006832
                     18,                0.76471,                0.42915,                0.86398,                0.92473,                0.87411,                 0.9214,                0.62476,                0.98201,                0.47114,                0.97491,              0.0006634,              0.0006634,              0.0006634
                     19,                0.74919,                0.42079,                0.86007,                0.93855,                0.86641,                0.92353,                0.63315,                0.95981,                0.47047,                0.96433,              0.0006436,              0.0006436,              0.0006436
                     20,                0.76291,                0.42606,                0.86666,                0.93551,                0.87116,                0.91994,                 0.6311,                0.96209,                0.46232,                0.96826,              0.0006238,              0.0006238,              0.0006238
                     21,                0.75551,                0.42655,                0.86243,                0.95506,                0.87313,                 0.9236,                0.64972,                0.94134,                0.45401,                0.95857,               0.000604,               0.000604,               0.000604
                     22,                0.74486,                0.42415,                0.85855,                0.96317,                0.88423,                0.92999,                0.64725,                0.96549,                0.44995,                0.97813,              0.0005842,              0.0005842,              0.0005842
                     23,                0.73133,                0.41762,                0.85601,                0.94367,                0.88752,                0.92765,                0.65697,                0.91621,                0.43934,                0.95754,              0.0005644,              0.0005644,              0.0005644
                     24,                0.72742,                0.40955,                0.85435,                0.96308,                0.85067,                 0.9252,                0.65203,                0.91575,                0.44467,                0.96177,              0.0005446,              0.0005446,              0.0005446
                     25,                0.72232,                0.41046,                0.85662,                0.93324,                0.87751,                0.92643,                 0.6464,                0.92641,                0.43814,                0.96103,              0.0005248,              0.0005248,              0.0005248
                     26,                0.71488,                0.40367,                0.85193,                0.95029,                0.87297,                0.92587,                0.64423,                0.89607,                0.44565,                0.96093,               0.000505,               0.000505,               0.000505
                     27,                0.71213,                0.40241,                0.85152,                0.94491,                0.88466,                0.92747,                0.65464,                0.88224,                0.43355,                0.94774,              0.0004852,              0.0004852,              0.0004852
                     28,                0.71162,                0.40734,                 0.8573,                0.96571,                0.88016,                0.92718,                0.65048,                0.89828,                0.44109,                0.94947,              0.0004654,              0.0004654,              0.0004654
                     29,                0.71089,                0.40384,                0.85424,                0.96332,                0.86806,                0.91982,                0.65313,                0.89682,                0.43556,                0.94683,              0.0004456,              0.0004456,              0.0004456
                     30,                0.70161,                0.40027,                0.85034,                0.96485,                0.88184,                0.92883,                0.65291,                0.90211,                0.43066,                0.95406,              0.0004258,              0.0004258,              0.0004258
                     31,                0.69454,                0.39839,                0.85233,                0.97161,                0.88247,                 0.9321,                0.67391,                0.85341,                0.41745,                0.93602,               0.000406,               0.000406,               0.000406
                     32,                0.68596,                0.39531,                0.84789,                0.95494,                0.87481,                 0.9236,                0.66409,                0.87521,                0.42765,                 0.9443,              0.0003862,              0.0003862,              0.0003862
