                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.60324,                0.35279,                0.83219,                0.96378,                  0.884,                0.92574,                0.67854,                0.82976,                0.41441,                0.94822,              0.0003324,              0.0003324,              0.0003324
                      2,                0.68798,                0.39016,                0.84724,                0.94349,                0.87776,                0.91657,                0.62733,                 1.0218,                0.48041,                 1.0057,             0.00065255,             0.00065255,             0.00065255
                      3,                0.73035,                0.41347,                0.85617,                0.94885,                0.87509,                0.91647,                0.63907,                0.97094,                0.46028,                0.98997,             0.00095951,             0.00095951,             0.00095951
                      4,                0.75705,                0.43187,                 0.8617,                 0.8937,                0.88756,                0.89934,                0.61883,                0.97447,                0.45976,                0.98565,              0.0009406,              0.0009406,              0.0009406
                      5,                0.76258,                0.43493,                0.86462,                0.92578,                0.86803,                0.91562,                 0.6037,                0.98087,                0.48743,                0.97908,              0.0009208,              0.0009208,              0.0009208
                      6,                0.76826,                0.43326,                0.86638,                0.94094,                0.88076,                0.92416,                0.62482,                0.99037,                0.47099,                0.98863,               0.000901,               0.000901,               0.000901
                      7,                0.75956,                0.42806,                0.86107,                0.92322,                0.86337,                0.91908,                0.61266,                 1.0064,                0.47963,                 0.9816,              0.0008812,              0.0008812,              0.0008812
                      8,                0.76209,                0.42952,                  0.863,                0.90931,                0.89008,                0.90839,                0.61443,                0.97291,                0.47406,                0.97103,              0.0008614,              0.0008614,              0.0008614
                      9,                 0.7559,                0.42375,                0.85909,                0.94674,                0.88303,                0.91548,                0.62324,                0.97349,                 0.4716,                0.97549,              0.0008416,              0.0008416,              0.0008416
                     10,                0.74085,                0.41574,                 0.8591,                0.95839,                0.85701,                0.92296,                0.64654,                0.95889,                0.46697,                0.96751,              0.0008218,              0.0008218,              0.0008218
                     11,                0.74212,                0.41573,                0.85751,                0.94402,                0.87943,                0.92288,                0.62299,                0.95839,                0.47066,                0.97495,               0.000802,               0.000802,               0.000802
                     12,                0.73659,                0.41764,                0.85693,                0.94197,                0.88245,                0.92037,                 0.6324,                 0.9495,                0.46144,                0.97816,              0.0007822,              0.0007822,              0.0007822
                     13,                0.72988,                0.40593,                0.85572,                0.96708,                0.87979,                0.92766,                0.64303,                0.91801,                0.45504,                0.97025,              0.0007624,              0.0007624,              0.0007624
                     14,                0.72664,                0.41288,                0.85826,                0.96318,                0.87561,                0.92165,                0.63682,                 0.9541,                0.45614,                0.97757,              0.0007426,              0.0007426,              0.0007426
                     15,                0.71529,                0.40159,                0.85321,                0.93209,                0.89104,                0.91918,                0.64543,                0.92105,                0.45818,                0.97182,              0.0007228,              0.0007228,              0.0007228
                     16,                 0.7186,                0.40393,                0.85339,                0.90559,                0.88551,                0.92364,                0.65318,                0.93334,                 0.4643,                0.96576,               0.000703,               0.000703,               0.000703
                     17,                0.70679,                 0.4013,                0.84996,                0.96153,                0.86074,                0.92009,                0.64365,                0.93711,                0.47206,                0.96906,              0.0006832,              0.0006832,              0.0006832
                     18,                0.70397,                0.39662,                0.85154,                0.95463,                0.86402,                0.93117,                0.65716,                0.91049,                0.43127,                0.95875,              0.0006634,              0.0006634,              0.0006634
                     19,                0.68573,                0.38621,                0.84529,                0.95956,                0.86408,                0.92643,                0.64612,                0.92315,                0.44652,                0.95862,              0.0006436,              0.0006436,              0.0006436
                     20,                0.68907,                0.38654,                0.84933,                0.95612,                0.88371,                0.92896,                0.65814,                0.91175,                0.44952,                0.95602,              0.0006238,              0.0006238,              0.0006238
                     21,                0.68264,                0.38565,                0.84602,                0.96533,                0.87588,                0.93255,                0.66777,                0.89305,                0.42433,                0.95196,               0.000604,               0.000604,               0.000604
                     22,                0.67816,                0.38067,                0.84292,                0.95179,                0.88719,                0.92025,                0.65551,                0.89658,                0.43888,                0.95604,              0.0005842,              0.0005842,              0.0005842
                     23,                0.67007,                0.37923,                0.84428,                0.97195,                0.89274,                0.93405,                0.67298,                0.88394,                0.42639,                0.95598,              0.0005644,              0.0005644,              0.0005644
                     24,                0.65395,                0.36738,                0.83888,                0.96548,                0.88138,                0.93103,                0.66901,                0.88659,                0.43204,                0.96236,              0.0005446,              0.0005446,              0.0005446
                     25,                0.65073,                0.36849,                0.83975,                0.95944,                0.88099,                0.92866,                0.65759,                0.92554,                0.43948,                0.96684,              0.0005248,              0.0005248,              0.0005248
                     26,                0.65358,                0.36813,                0.83802,                0.96289,                 0.8752,                0.92489,                0.67433,                0.88517,                0.42988,                0.96143,               0.000505,               0.000505,               0.000505
                     27,                0.63808,                 0.3632,                0.83632,                0.94746,                0.89003,                 0.9271,                 0.6758,                0.86374,                0.43221,                0.94668,              0.0004852,              0.0004852,              0.0004852
                     28,                0.64361,                0.36938,                0.84244,                  0.967,                0.88017,                0.93204,                0.68034,                0.88558,                0.41848,                0.96232,              0.0004654,              0.0004654,              0.0004654
                     29,                0.63711,                0.36011,                0.83818,                0.97272,                0.87667,                0.92325,                0.67221,                 0.8841,                0.41245,                0.95803,              0.0004456,              0.0004456,              0.0004456
                     30,                0.62935,                0.35936,                0.83693,                  0.963,                0.89079,                0.93148,                0.70114,                0.83849,                0.40904,                0.95329,              0.0004258,              0.0004258,              0.0004258
                     31,                0.61629,                0.35264,                0.83568,                0.95613,                0.89752,                0.92976,                0.69527,                0.81654,                0.39966,                0.94168,               0.000406,               0.000406,               0.000406
                     32,                0.61185,                0.34976,                0.83305,                0.96704,                0.87669,                0.93118,                0.68849,                0.82745,                0.40834,                0.94112,              0.0003862,              0.0003862,              0.0003862
                     33,                0.61012,                0.35201,                0.83325,                0.96966,                0.88824,                 0.9386,                0.69149,                0.82827,                 0.4057,                0.93357,              0.0003664,              0.0003664,              0.0003664
                     34,                0.60706,                0.34688,                0.83357,                0.96598,                0.88454,                0.93727,                0.69107,                0.83981,                0.40659,                0.94068,              0.0003466,              0.0003466,              0.0003466
                     35,                0.59701,                0.33988,                0.83014,                0.93691,                0.88944,                0.93437,                0.69464,                0.83167,                0.40041,                0.94869,              0.0003268,              0.0003268,              0.0003268
                     36,                0.58622,                0.33964,                0.82945,                0.97708,                0.87231,                0.93585,                0.70218,                0.82063,                0.38635,                0.94261,               0.000307,               0.000307,               0.000307
                     37,                0.58039,                0.33264,                0.82804,                0.96219,                0.88256,                0.93583,                0.69294,                0.82325,                0.39755,                0.93636,              0.0002872,              0.0002872,              0.0002872
                     38,                0.57692,                0.33263,                0.82841,                0.96631,                0.88567,                0.93785,                0.70532,                0.82174,                0.39514,                0.93531,              0.0002674,              0.0002674,              0.0002674
                     39,                0.57024,                0.33003,                0.82321,                  0.954,                0.89081,                0.93584,                0.71255,                0.80757,                0.39255,                0.94084,              0.0002476,              0.0002476,              0.0002476
                     40,                0.56468,                0.32657,                 0.8233,                 0.9564,                0.88961,                0.93255,                0.70955,                0.79455,                0.38834,                0.92739,              0.0002278,              0.0002278,              0.0002278
                     41,                0.49648,                0.28698,                0.80742,                0.95661,                0.89408,                0.93947,                0.71424,                0.81011,                0.39114,                0.93224,               0.000208,               0.000208,               0.000208
                     42,                0.49513,                0.28472,                0.80867,                0.96926,                 0.8821,                0.93395,                0.71331,                 0.7909,                0.38245,                0.93354,              0.0001882,              0.0001882,              0.0001882
                     43,                0.49067,                0.28295,                0.80716,                0.96478,                0.89299,                0.93661,                0.72028,                0.78232,                0.37857,                 0.9293,              0.0001684,              0.0001684,              0.0001684
                     44,                0.48235,                0.27788,                0.80511,                 0.9576,                0.90331,                0.94029,                0.72622,                0.78801,                0.37932,                0.93068,              0.0001486,              0.0001486,              0.0001486
                     45,                0.47305,                0.27592,                0.80609,                0.96627,                0.89458,                0.94134,                0.72439,                0.77429,                0.38128,                0.92697,              0.0001288,              0.0001288,              0.0001288
                     46,                  0.467,                0.27157,                0.80084,                0.96883,                0.89129,                0.93653,                0.72274,                 0.7841,                 0.3815,                0.92999,               0.000109,               0.000109,               0.000109
                     47,                 0.4605,                0.26849,                0.80382,                0.96966,                0.89094,                0.93963,                0.73223,                0.77227,                0.38162,                0.92736,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.45217,                0.26702,                 0.7984,                0.97108,                 0.8903,                0.93951,                0.73312,                0.75457,                0.37572,                0.92116,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.45013,                0.26413,                0.80164,                0.96502,                0.89463,                0.93804,                0.73317,                0.75411,                0.37413,                 0.9259,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                0.44324,                0.26078,                0.79837,                0.97038,                0.89421,                0.93913,                0.73115,                0.76379,                0.37394,                 0.9246,               2.98e-05,               2.98e-05,               2.98e-05
