                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1501,                 2.7821,                 1.3467,                0.58437,                0.44316,                0.40945,                0.15878,                 1.9703,                 2.1705,                 1.3475,              0.0003324,              0.0003324,              0.0003324
                      2,                 1.9934,                 1.8996,                 1.3091,                 0.6731,                0.50327,                0.49633,                0.19138,                 1.9672,                 1.7496,                 1.3743,             0.00066134,             0.00066134,             0.00066134
                      3,                 1.9553,                  1.665,                 1.2974,                0.73877,                0.47898,                0.52401,                0.21052,                 1.8921,                 1.4041,                 1.3285,             0.00098588,             0.00098588,             0.00098588
                      4,                 1.9079,                 1.5149,                 1.2853,                0.76756,                0.54285,                0.60123,                0.25547,                 1.8303,                 1.2718,                 1.2902,              0.0009802,              0.0009802,              0.0009802
                      5,                 1.8604,                 1.3731,                 1.2572,                 0.7899,                0.58207,                0.62098,                0.24926,                 1.8784,                 1.2168,                 1.3347,              0.0009736,              0.0009736,              0.0009736
                      6,                 1.8304,                 1.3232,                 1.2406,                0.78386,                0.57106,                0.58947,                0.24001,                 1.8899,                 1.2961,                 1.3148,               0.000967,               0.000967,               0.000967
                      7,                 1.7974,                 1.2665,                 1.2264,                0.77964,                0.61485,                0.66096,                0.29564,                 1.7717,                 1.1111,                  1.273,              0.0009604,              0.0009604,              0.0009604
                      8,                 1.7779,                 1.2203,                 1.2128,                0.71431,                0.62191,                0.65258,                0.29282,                 1.7654,                  1.123,                 1.2525,              0.0009538,              0.0009538,              0.0009538
                      9,                 1.7496,                 1.1906,                 1.2028,                0.74495,                 0.6225,                0.66906,                0.30221,                 1.7191,                 1.0555,                 1.2506,              0.0009472,              0.0009472,              0.0009472
                     10,                 1.7295,                 1.1464,                 1.1849,                0.76873,                0.65232,                0.70405,                0.31373,                 1.7633,                 1.0276,                 1.2655,              0.0009406,              0.0009406,              0.0009406
                     11,                  1.713,                 1.1296,                 1.1786,                0.72231,                0.64291,                0.68487,                0.32005,                 1.7237,                0.99135,                 1.2374,               0.000934,               0.000934,               0.000934
