                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0758,                  2.781,                 1.3647,                0.62679,                0.51675,                0.51567,                0.19517,                 2.0507,                   1.49,                 1.4386,             0.00033147,             0.00033147,             0.00033147
                      2,                 1.9103,                 1.4532,                 1.3084,                0.68342,                0.54777,                0.55522,                0.23588,                 1.9103,                  1.299,                 1.3492,             0.00065822,             0.00065822,             0.00065822
                      3,                 1.8798,                  1.342,                 1.2923,                0.74768,                0.54664,                 0.5698,                0.23332,                 1.9055,                 1.2101,                 1.3357,             0.00097837,             0.00097837,             0.00097837
                      4,                  1.824,                 1.2506,                 1.2613,                 0.6781,                0.59829,                0.60442,                0.25697,                 1.8506,                 1.2478,                 1.3394,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.7851,                 1.1914,                 1.2419,                0.74609,                0.64275,                0.67512,                0.29595,                 1.8044,                 1.0639,                 1.3023,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.7487,                 1.1157,                 1.2286,                0.64746,                  0.653,                0.66763,                0.30637,                  1.742,                 1.0276,                 1.2682,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.7116,                 1.0951,                 1.2112,                0.74196,                0.65134,                0.67405,                0.30371,                 1.7621,                 1.0284,                 1.3098,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.6697,                  1.035,                 1.1873,                0.75054,                 0.6932,                  0.714,                0.30477,                 1.7986,                0.97811,                  1.299,              0.0009307,              0.0009307,              0.0009307
                      9,                  1.631,                0.99591,                 1.1759,                0.73297,                0.69117,                0.71528,                0.30739,                 1.7195,                0.98531,                 1.2613,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.6007,                0.97473,                 1.1507,                0.81219,                0.68751,                0.74037,                0.32572,                 1.7792,                0.96857,                 1.2715,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.5693,                0.94216,                 1.1439,                0.85887,                0.74947,                0.78837,                0.37508,                 1.6304,                0.85191,                 1.2155,               0.000901,               0.000901,               0.000901
                     12,                 1.5415,                0.91168,                 1.1333,                0.81634,                0.75471,                0.80645,                0.37448,                 1.6708,                0.86392,                 1.2386,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.5255,                0.90711,                 1.1236,                0.88451,                0.72476,                 0.8152,                0.39486,                 1.6118,                0.85174,                 1.2021,              0.0008812,              0.0008812,              0.0008812
